Name,ISIN,Issue date,maturity date,coupon payment date,coupon,9,10,11,12,13,16,17,18,19,20
CAN 2.25 Mar 1 ,CA135087J546,10/05/2018,03/01/2024,03/01/2024,2.25%,97.82,97.8,97.848,97.85,97.886,97.91,97.871,97.96,97.93,97.889
CAN 1.50 Sep 1 ,CA135087J967,04/05/2019,09/01/2024,03/01/2024,1.50%,96.1,96.105,96.156,96.31,96.337,96.44,96.439,96.61,96.56,96.5
CAN 1.25 Mar 1 ,CA135087K528,10/11/2019,03/01/2025,03/01/2024,1.25%,94.775,94.805,94.895,95.071,95.18,95.29,95.375,95.61,95.65,95.56
CAN 0.50 Mar 1 ,CA135087K940,04/03/2020,09/01/2025,03/01/2024,0.50%,92.01,92.035,92.135,92.355,92.5,92.64,92.72,93.015,93.12,93.03
CAN 1.50 Jun 1 ,CA135087L518,10/09/2020,03/01/2026,03/01/2024,0.25%,90.195,90.185,90.394,90.695,90.865,90.98,91.105,91.47,91.565,91.45
CAN 1.00 Sep 1 ,CA135087L930,4/16/2021,09/01/2026,03/01/2024,1.00%,91.704,91.705,91.93,92.354,92.508,92.623,92.749,93.192,93.249,93.12
CAN 1.25 Mar 1 ,CA135087M847,10/15/2021,03/01/2027,03/01/2024,1.25%,92.032,92.1,92.253,92.69,92.955,93.06,93.14,93.69,93.73,93.56
CAN 2.75 Mar 1,CA135087N837,5/13/2022,09/01/2027,03/01/2024,2.75%,97.89,97.82,98.1,98.65,98.85,99.01,99.1,99.665,99.65,99.435
CAN 3.50 Mar 1,CA135087P576,10/21/2022,03/01/2028,03/01/2024,3.50%,101.325,101.27,101.581,102.228,102.515,102.65,102.72,103.355,103.308,103.05
CAN 3.25 Mar 1,CA135087Q491,4/21/2022,09/01/2028,03/01/2024,3.25%,97.89,97.82,98.1,98.65,98.85,99.01,99.1,99.665,99.65,99.435
